AREA,DATE_SALE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALE_COND
Anna Nagar,19-12-2006,1986,2,1,5,21717770,No,22-12-1995,760122,304049,Ab Normal
Velachery,13-03-2010,1855,3,2,5,9630290,No,18-03-1988,356321,77042,Family
Chrompet,11-09-2014,1220,2,1,4,12394750,No,12-09-2009,409027,198316,Partial
Chrompet,05-04-2007,1167,1,1,3,8488790,No,12-04-1979,263152,33955,Partial
Velachery,13-03-2006,1847,3,2,5,16800250,No,15-03-1996,604809,235204,Family
Chrompet,06-04-2011,771,1,1,2,8308970,No,14-04-1977,257578,33236,Adj Land
Velachery,22-06-2006,1635,2,1,4,8083650,No,26-06-1991,323346,121255,Ab Normal
Chrompet,16-02-2009,1054,1,1,3,9449730,No,26-02-1972,245693,141746,Partial
Chrompet,11-02-2010,1196,1,1,3,8774370,No,16-02-1991,289554,35097,Family
Velachery,11-11-2010,1865,3,2,5,15499680,No,24-11-1956,619987,294494,Family
Velachery,12-09-2009,1868,3,2,5,15714080,No,14-09-2000,597135,188569,Family
KK Nagar,06-05-2009,2010,3,2,5,10925400,No,09-05-1999,327762,262210,Partial
Chrompet,23-07-2010,1074,1,1,3,9627380,No,27-07-1994,288821,86646,Ab Normal
T Nagar,13-05-2013,1972,2,1,5,13922760,No,14-05-2008,487297,167073,Adj Land
T Nagar,19-07-2014,1685,1,1,4,12601080,No,27-07-1980,352830,176415,Family
T Nagar,18-08-2013,1806,2,1,5,11338200,No,27-08-1978,430852,113382,Family
Anna Nagar,01-04-2009,1981,2,1,5,12872430,No,03-04-2000,373300,218831,Adj Land
Adyar,15-08-2011,868,1,1,3,9042050,No,17-08-2001,325514,72336,Normal Sale
Anna Nagar,22-11-2009,1709,1,1,4,12928590,No,24-11-2003,452501,90500,Family
Karapakkam,23-05-2010,1226,1,1,3,4971250,No,30-05-1983,154109,114339,Normal Sale
Adyar,24-01-2009,904,1,1,3,11601400,No,03-02-1969,348042,23203,Adj Land
Chrompet,21-12-2012,1198,1,1,3,8249260,No,30-12-1976,255727,98991,Normal Sale
Karapakkam,03-10-2011,931,1,1,3,6944500,No,07-10-1993,291669,166668,Adj Land
KK Nagar,06-12-2009,2492,4,2,6,18725520,No,10-12-1993,917550,224706,Ab Normal
Karapakkam,11-09-2011,851,1,1,2,3572250,No,18-09-1982,167896,39295,Partial
Karapakkam,06-11-2010,1412,2,2,4,8379000,No,13-11-1982,251370,192717,Adj Land
Adyar,12-10-2006,779,1,1,2,5290635,No,14-10-1997,190463,31744,Normal Sale
T Nagar,21-05-2014,1655,1,1,4,12548930,No,29-05-1980,376468,238430,Ab Normal
Karapakkam,03-04-2010,940,1,1,3,5857750,No,15-04-1961,263599,64435,Adj Land
Karapakkam,12-01-2012,545,1,1,2,3854375,No,19-01-1982,165738,88651,Partial
Karapakkam,12-12-2011,1469,2,2,4,9480750,No,13-12-2006,284423,132731,Ab Normal
Karapakkam,02-05-2011,1691,2,2,4,9398750,No,09-05-1980,319558,178576,Ab Normal
Karapakkam,21-04-2011,1236,1,1,3,8806250,No,30-04-1972,334638,114481,Normal Sale
Adyar,21-07-2008,1260,2,2,4,6922975,No,28-07-1983,256150,34615,Partial
Adyar,22-12-2009,1021,1,1,3,11673175,No,23-12-2004,361868,175098,Normal Sale
Adyar,13-06-2007,1218,2,2,4,12574850,No,20-06-1977,377246,138323,Normal Sale
Karapakkam,19-02-2012,1378,2,2,4,9917500,No,21-02-2003,297525,208268,Adj Land
Anna Nagar,18-08-2011,1928,2,1,5,11667050,No,20-08-2001,466682,105003,Partial
Chrompet,02-08-2008,1233,2,1,4,9817150,No,11-08-1975,245429,107989,Ab Normal
Karapakkam,12-08-2011,627,1,1,2,6587500,No,19-08-1983,223975,92225,Family
Velachery,16-08-2005,1563,2,1,4,9799360,No,23-08-1977,303780,195987,Family
T Nagar,30-03-2009,1522,1,1,4,17454510,No,10-04-1966,506181,174545,Partial
T Nagar,13-08-2009,1687,1,1,4,12476770,No,16-08-1996,411733,224582,Ab Normal
Adyar,10-05-2008,1025,1,1,3,10934875,No,17-05-1983,349916,142153,Partial
KK Nagar,09-04-2008,1546,2,1,4,14241140,No,16-04-1981,441475,142411,Ab Normal
Chrompet,09-01-2015,755,1,1,2,10727750,No,17-01-1982,289649,42911,Normal Sale
Adyar,06-03-2012,735,1,1,2,9478710,No,10-03-1998,284361,132702,Adj Land
Chrompet,09-05-2014,1293,2,1,4,13116050,No,19-05-1975,419714,157393,Normal Sale
KK Nagar,17-10-2009,1641,2,1,4,10012600,No,24-10-1980,460580,190239,Partial
Karapakkam,26-08-2011,1245,1,1,3,4918375,No,02-09-1983,201653,113123,Partial
Chrompet,12-09-2009,905,1,1,3,7703200,No,20-09-1976,223393,77032,Family
KK Nagar,24-02-2012,1496,2,1,4,8569080,No,27-02-1998,265641,137105,Family
Velachery,05-07-2010,1517,2,1,4,11671620,No,08-07-1999,408507,116716,Family
Chrompet,13-05-2013,1092,1,1,3,8213040,No,14-05-2009,246391,57491,Normal Sale
Chrompet,02-01-2014,821,1,1,3,7304000,No,04-01-2006,182600,65736,Adj Land
KK Nagar,07-07-2008,1694,2,1,4,10390900,No,10-07-1997,353291,114300,Family
Anna Nagar,22-03-2010,1809,2,1,5,19206870,No,28-03-1984,518585,230482,Family
Karapakkam,26-02-2011,1470,2,2,4,7207000,No,04-03-1986,302694,172968,Ab Normal
Chrompet,15-04-2013,798,1,1,2,9070550,No,24-04-1976,253975,145129,Partial
Chrompet,21-02-2008,764,1,1,2,5670200,No,23-02-2000,158766,90723,Partial
Chrompet,25-09-2008,1135,1,1,3,9253200,No,01-10-1985,296102,148051,Ab Normal
Karapakkam,23-07-2009,939,1,1,3,4294000,No,02-08-1971,214700,38646,Ab Normal
Chrompet,22-09-2010,884,1,1,3,11336400,No,23-09-2006,283410,45346,Normal Sale
